d,k
17.32,23.8095695082704
15.588,23.4300694471184
13.856,23.0164584351963
12.124,22.5672260244994
10.392,22.0809876376902
8.66,21.5569880507663
6.928,20.9948496517267
5.196,20.3952017939066
3.464,19.7599325373116
1.732,19.0923145192852
0,18.3971308251751
-1.732,17.6805491176666
-3.464,16.9497440247817
-5.196,16.2123936572103
-6.928,15.475546772307
-8.66,14.816865571641
-10.392,14.0282858425807
-12.124,13.3278155804546
-13.856,12.6478622370573
-15.588,11.99094322573
-17.32,11.3589466064784
