t,i
1.22342e-07,0.00736418
1.22497e-07,0.00518009
1.22689e-07,0.00140922
1.22743e-07,0.000533064
1.22797e-07,-0.000133774
1.22852e-07,-0.000550367
1.22911e-07,-0.000674664
1.22986e-07,-0.000439214
1.23045e-07,1.38664e-05
1.23097e-07,0.000585501
1.23197e-07,0.00188568
1.23259e-07,0.00262671
1.23327e-07,0.00323906
1.23408e-07,0.00357889
1.23496e-07,0.00335268
1.2361e-07,0.00230867
1.23675e-07,0.00136436
1.23848e-07,-0.00173133
1.23903e-07,-0.00261661
1.23959e-07,-0.0033165
1.24037e-07,-0.00391861
1.24131e-07,-0.00412965
1.24199e-07,-0.00392433
1.24255e-07,-0.00352465
1.24303e-07,-0.00306455
1.24435e-07,-0.00166552
1.24486e-07,-0.00122329
1.2455e-07,-0.000842536
1.24614e-07,-0.000697379
1.24676e-07,-0.000839902
1.24754e-07,-0.00139347
1.24826e-07,-0.00218876
1.25047e-07,-0.00554239
1.25139e-07,-0.00667071
1.25248e-07,-0.00740978
1.25377e-07,-0.00748702
1.25469e-07,-0.00705624
1.25626e-07,-0.00579546
1.2571e-07,-0.00525892
1.25805e-07,-0.00501421
1.25898e-07,-0.00528585
1.26034e-07,-0.00643396
1.26251e-07,-0.0091813
1.26379e-07,-0.0104762
1.26511e-07,-0.0110334
1.26685e-07,-0.0107341
1.26779e-07,-0.0102249
1.26881e-07,-0.00962086
1.27002e-07,-0.0092688
1.27132e-07,-0.0095974
1.27302e-07,-0.010961
1.27421e-07,-0.0122707
1.27551e-07,-0.0136194
1.27711e-07,-0.014541
1.27885e-07,-0.014565
1.28144e-07,-0.0135467
1.28294e-07,-0.01346
1.28454e-07,-0.014222
1.28806e-07,-0.0173048
1.29006e-07,-0.0182317
1.29197e-07,-0.018147
1.29347e-07,-0.0176881
1.29502e-07,-0.0174878
1.29697e-07,-0.018159
1.3012e-07,-0.021227
1.30364e-07,-0.0219579
1.3076e-07,-0.02154
1.30981e-07,-0.0220997
1.31405e-07,-0.0248606
1.3165e-07,-0.0256566
1.31904e-07,-0.0255806
1.32106e-07,-0.0255784
1.32403e-07,-0.0266118
1.32674e-07,-0.0282032
1.3292e-07,-0.0292514
1.33481e-07,-0.029638
1.33823e-07,-0.0307841
1.34131e-07,-0.0323405
