t,v
3.31925e-7,1.21126e+1
3.33923e-7,1.24952e+1
3.35920e-7,1.28447e+1
3.38920e-7,1.28446e+1
3.41920e-7,1.27114e+1
3.44919e-7,1.27779e+1
3.47671e-7,1.22702e+1
3.50420e-7,1.23201e+1
3.51918e-7,1.26196e+1
3.52916e-7,1.28442e+1
3.55916e-7,1.27110e+1
3.58915e-7,1.28441e+1
3.61415e-7,1.27441e+1
3.63667e-7,1.22698e+1
3.66915e-7,1.24744e+1
3.66916e-7,1.21948e+1
3.69913e-7,1.26940e+1
3.70915e-7,1.22946e+1
3.71924e-7,1.04973e+1
3.72943e-7,6.80304e+0
3.73962e-7,3.25851e+0
3.74974e-7,9.12117e-1
3.75979e-7,-1.86208e-1
3.75981e-7,-4.85744e-1
3.75984e-7,-1.08482e+0
3.75986e-7,-1.48420e+0
3.76987e-7,-1.78376e+0
3.76989e-7,-2.08329e+0
3.77990e-7,-2.33293e+0
3.79987e-7,-1.78384e+0
3.79988e-7,-2.08337e+0
3.80985e-7,-1.48433e+0
3.81483e-7,-1.08496e+0
3.81981e-7,-7.85436e-1
3.83978e-7,-4.02748e-1
3.86726e-7,-1.11605e-1
3.89477e-7,-3.36329e-1
3.91311e-7,-6.35913e-1
3.93975e-7,-2.86524e-1
3.95476e-7,-5.61138e-1
3.97974e-7,-2.69988e-1
4.00974e-7,-2.70066e-1
4.03973e-7,-2.70144e-1
4.06721e-7,-1.12128e-1
4.09972e-7,-4.03429e-1
4.11968e-7,2.12232e-1
4.11970e-7,-8.73040e-2
4.11971e-7,-3.36917e-1
4.13964e-7,1.06086e+0
4.13965e-7,8.11252e-1
4.13966e-7,5.11716e-1
4.14967e-7,2.62076e-1
4.15969e-7,1.24367e-2
4.15970e-7,-2.87099e-1
4.16972e-7,-6.36584e-1
4.17640e-7,-9.02856e-1
4.20472e-7,-9.36212e-1
4.21969e-7,-3.87102e-1
4.21971e-7,-6.86637e-1
4.23466e-7,1.37047e-1
4.23967e-7,-1.37541e-1
4.24969e-7,-4.87025e-1
4.25970e-7,-7.86587e-1
4.26972e-7,-1.11111e+0
4.26973e-7,-1.33576e+0
4.29303e-7,-7.86675e-1
4.29964e-7,2.11761e-1
4.29966e-7,-8.77748e-2
4.29967e-7,-3.87311e-1
4.31959e-7,1.06039e+0
4.31961e-7,8.10781e-1
4.31962e-7,5.11245e-1
4.32963e-7,2.61605e-1
4.33964e-7,1.19659e-2
4.33966e-7,-2.87570e-1
4.34967e-7,-5.87132e-1
4.34969e-7,-8.86668e-1
4.36969e-7,-1.08641e+0
4.38467e-7,-6.87069e-1
4.38965e-7,-3.87546e-1
4.39963e-7,-8.80364e-2
4.40960e-7,4.61087e-1
4.40961e-7,2.36435e-1
4.42962e-7,1.17304e-2
4.43464e-7,-3.12780e-1
4.45464e-7,-4.37639e-1
4.47461e-7,-6.32713e-2
4.48959e-7,2.44546e-1
4.50960e-7,1.15212e-2
4.50962e-7,-2.88015e-1
4.51964e-7,-6.87422e-1
4.53715e-7,-1.11181e+0
4.55964e-7,-8.87217e-1
4.57461e-7,-4.62914e-1
4.58459e-7,-1.63404e-1
4.60958e-7,-5.38129e-3
4.63708e-7,-2.13464e-1
4.66958e-7,-2.71792e-1
4.69459e-7,-6.37957e-1
4.71460e-7,-8.37700e-1
4.73957e-7,-4.05103e-1
4.75955e-7,-8.89781e-2
4.77952e-7,3.26992e-1
4.80953e-7,-7.24680e-2
4.83705e-7,-4.13678e-1
4.85953e-7,-1.39162e-1
4.86954e-7,-4.88647e-1
4.88955e-7,-7.38313e-1
4.91455e-7,-8.63185e-1
4.92453e-7,-4.88791e-1
4.93451e-7,-8.94359e-2
4.94948e-7,2.43343e-1
4.97449e-7,6.02275e-2
4.98950e-7,-2.89270e-1
5.00951e-7,-4.89013e-1
5.01949e-7,-1.89504e-1
5.02945e-7,6.09233e-1
5.02946e-7,3.09697e-1
5.02947e-7,6.00836e-2
5.03939e-7,1.70751e+0
5.03943e-7,8.58820e-1
5.04922e-7,4.80268e+0
5.05914e-7,6.40018e+0
5.06890e-7,1.07934e+1
5.06899e-7,9.04606e+0
5.07887e-7,1.12926e+1
5.08877e-7,1.31896e+1
5.08879e-7,1.28901e+1
5.08880e-7,1.25905e+1
5.09875e-7,1.34891e+1
5.10373e-7,1.38885e+1
5.11871e-7,1.41547e+1
5.13872e-7,1.40381e+1
5.14873e-7,1.36887e+1
5.15875e-7,1.32892e+1
5.17210e-7,1.28732e+1
5.19878e-7,1.26401e+1
5.21877e-7,1.26401e+1
5.23629e-7,1.22656e+1
5.25877e-7,1.24902e+1
5.27875e-7,1.28396e+1
5.30875e-7,1.27064e+1
5.33210e-7,1.22737e+1
5.35877e-7,1.20407e+1
5.38876e-7,1.21071e+1
5.41374e-7,1.23151e+1
5.41873e-7,1.25897e+1
5.43870e-7,1.29058e+1
5.46869e-7,1.30388e+1
5.49869e-7,1.28391e+1
5.52869e-7,1.27058e+1
5.55204e-7,1.22731e+1
5.57371e-7,1.21399e+1
5.59202e-7,1.25393e+1
5.61867e-7,1.27056e+1
5.64866e-7,1.27055e+1
5.67865e-7,1.27720e+1
5.69866e-7,1.26388e+1
5.71617e-7,1.22644e+1
5.74198e-7,1.25389e+1
5.76863e-7,1.28383e+1
5.79863e-7,1.26386e+1
5.82861e-7,1.28382e+1
5.85361e-7,1.28381e+1
5.86862e-7,1.25885e+1
5.87863e-7,1.22556e+1
5.90862e-7,1.22888e+1
5.93111e-7,1.24885e+1
5.94195e-7,1.22555e+1
5.96860e-7,1.25283e+1
5.96861e-7,1.21888e+1
